date,item,sales,price,day_of_week,day_of_week_num,is_weekend,month,day_of_month,year,week_of_year,is_holiday_season,is_summer
2022-01-01,Apple,109,2.99,Saturday,5,1,1,1,2022,52,0,0
2022-01-01,Banana,89,1.58,Saturday,5,1,1,1,2022,52,0,0
2022-01-01,Tomato,127,4.22,Saturday,5,1,1,1,2022,52,0,0
2022-01-01,Potato,161,1.13,Saturday,5,1,1,1,2022,52,0,0
2022-01-01,Spinach,62,2.07,Saturday,5,1,1,1,2022,52,0,0
2022-01-01,Orange,93,2.37,Saturday,5,1,1,1,2022,52,0,0
2022-01-01,Onion,114,1.53,Saturday,5,1,1,1,2022,52,0,0
2022-01-01,Carrot,65,1.58,Saturday,5,1,1,1,2022,52,0,0
2022-01-02,Apple,105,2.49,Sunday,6,1,1,2,2022,52,0,0
2022-01-02,Banana,102,1.57,Sunday,6,1,1,2,2022,52,0,0
2022-01-02,Tomato,88,3.3,Sunday,6,1,1,2,2022,52,0,0
2022-01-02,Potato,87,1.02,Sunday,6,1,1,2,2022,52,0,0
2022-01-02,Spinach,93,2.19,Sunday,6,1,1,2,2022,52,0,0
2022-01-02,Orange,75,2.25,Sunday,6,1,1,2,2022,52,0,0
2022-01-02,Onion,101,1.34,Sunday,6,1,1,2,2022,52,0,0
2022-01-02,Carrot,78,1.98,Sunday,6,1,1,2,2022,52,0,0
2022-01-03,Apple,92,2.76,Monday,0,0,1,3,2022,1,0,0
2022-01-03,Banana,78,1.36,Monday,0,0,1,3,2022,1,0,0
2022-01-03,Tomato,134,3.74,Monday,0,0,1,3,2022,1,0,0
2022-01-03,Potato,81,1.25,Monday,0,0,1,3,2022,1,0,0
2022-01-03,Spinach,62,2.24,Monday,0,0,1,3,2022,1,0,0
2022-01-03,Orange,74,1.98,Monday,0,0,1,3,2022,1,0,0
2022-01-03,Onion,72,1.45,Monday,0,0,1,3,2022,1,0,0
2022-01-03,Carrot,55,2.36,Monday,0,0,1,3,2022,1,0,0
2022-01-04,Apple,94,2.72,Tuesday,1,0,1,4,2022,1,0,0
2022-01-04,Banana,105,1.77,Tuesday,1,0,1,4,2022,1,0,0
2022-01-04,Tomato,44,3.14,Tuesday,1,0,1,4,2022,1,0,0
2022-01-04,Potato,85,1.0,Tuesday,1,0,1,4,2022,1,0,0
2022-01-04,Spinach,47,2.19,Tuesday,1,0,1,4,2022,1,0,0
2022-01-04,Orange,60,1.84,Tuesday,1,0,1,4,2022,1,0,0
2022-01-04,Onion,68,1.16,Tuesday,1,0,1,4,2022,1,0,0
2022-01-04,Carrot,78,2.43,Tuesday,1,0,1,4,2022,1,0,0
2022-01-05,Apple,91,2.73,Wednesday,2,0,1,5,2022,1,0,0
2022-01-05,Banana,53,1.46,Wednesday,2,0,1,5,2022,1,0,0
2022-01-05,Tomato,62,3.45,Wednesday,2,0,1,5,2022,1,0,0
2022-01-05,Potato,78,0.95,Wednesday,2,0,1,5,2022,1,0,0
2022-01-05,Spinach,12,1.64,Wednesday,2,0,1,5,2022,1,0,0
2022-01-05,Orange,46,1.98,Wednesday,2,0,1,5,2022,1,0,0
2022-01-05,Onion,68,1.35,Wednesday,2,0,1,5,2022,1,0,0
2022-01-05,Carrot,38,1.94,Wednesday,2,0,1,5,2022,1,0,0
2022-01-06,Apple,79,2.71,Thursday,3,0,1,6,2022,1,0,0
2022-01-06,Banana,53,1.65,Thursday,3,0,1,6,2022,1,0,0
2022-01-06,Tomato,56,3.24,Thursday,3,0,1,6,2022,1,0,0
2022-01-06,Potato,56,0.89,Thursday,3,0,1,6,2022,1,0,0
2022-01-06,Spinach,9,1.63,Thursday,3,0,1,6,2022,1,0,0
2022-01-06,Orange,46,2.04,Thursday,3,0,1,6,2022,1,0,0
2022-01-06,Onion,58,1.22,Thursday,3,0,1,6,2022,1,0,0
2022-01-06,Carrot,6,1.44,Thursday,3,0,1,6,2022,1,0,0
2022-01-07,Apple,88,3.01,Friday,4,0,1,7,2022,1,0,0
2022-01-07,Banana,77,1.54,Friday,4,0,1,7,2022,1,0,0
2022-01-07,Tomato,30,2.75,Friday,4,0,1,7,2022,1,0,0
2022-01-07,Potato,68,0.95,Friday,4,0,1,7,2022,1,0,0
2022-01-07,Spinach,40,1.67,Friday,4,0,1,7,2022,1,0,0
2022-01-07,Orange,58,2.03,Friday,4,0,1,7,2022,1,0,0
2022-01-07,Onion,64,1.32,Friday,4,0,1,7,2022,1,0,0
2022-01-07,Carrot,36,1.86,Friday,4,0,1,7,2022,1,0,0
2022-01-08,Apple,120,2.91,Saturday,5,1,1,8,2022,1,0,0
2022-01-08,Banana,92,1.7,Saturday,5,1,1,8,2022,1,0,0
2022-01-08,Tomato,84,3.48,Saturday,5,1,1,8,2022,1,0,0
2022-01-08,Potato,162,1.32,Saturday,5,1,1,8,2022,1,0,0
2022-01-08,Spinach,55,2.11,Saturday,5,1,1,8,2022,1,0,0
2022-01-08,Orange,82,1.98,Saturday,5,1,1,8,2022,1,0,0
2022-01-08,Onion,111,1.5,Saturday,5,1,1,8,2022,1,0,0
2022-01-08,Carrot,83,2.27,Saturday,5,1,1,8,2022,1,0,0
2022-01-09,Apple,109,2.54,Sunday,6,1,1,9,2022,1,0,0
2022-01-09,Banana,108,1.72,Sunday,6,1,1,9,2022,1,0,0
2022-01-09,Tomato,183,4.5,Sunday,6,1,1,9,2022,1,0,0
2022-01-09,Potato,101,1.06,Sunday,6,1,1,9,2022,1,0,0
2022-01-09,Spinach,71,2.55,Sunday,6,1,1,9,2022,1,0,0
2022-01-09,Orange,81,1.93,Sunday,6,1,1,9,2022,1,0,0
2022-01-09,Onion,106,1.62,Sunday,6,1,1,9,2022,1,0,0
2022-01-09,Carrot,70,2.39,Sunday,6,1,1,9,2022,1,0,0
2022-01-10,Apple,99,2.82,Monday,0,0,1,10,2022,2,0,0
2022-01-10,Banana,84,1.44,Monday,0,0,1,10,2022,2,0,0
2022-01-10,Tomato,71,3.45,Monday,0,0,1,10,2022,2,0,0
2022-01-10,Potato,91,1.06,Monday,0,0,1,10,2022,2,0,0
2022-01-10,Spinach,86,2.68,Monday,0,0,1,10,2022,2,0,0
2022-01-10,Orange,87,2.54,Monday,0,0,1,10,2022,2,0,0
2022-01-10,Onion,70,1.35,Monday,0,0,1,10,2022,2,0,0
2022-01-10,Carrot,46,1.55,Monday,0,0,1,10,2022,2,0,0
2022-01-11,Apple,87,2.39,Tuesday,1,0,1,11,2022,2,0,0
2022-01-11,Banana,84,1.48,Tuesday,1,0,1,11,2022,2,0,0
2022-01-11,Tomato,56,2.95,Tuesday,1,0,1,11,2022,2,0,0
2022-01-11,Potato,84,1.02,Tuesday,1,0,1,11,2022,2,0,0
2022-01-11,Spinach,64,2.59,Tuesday,1,0,1,11,2022,2,0,0
2022-01-11,Orange,53,2.36,Tuesday,1,0,1,11,2022,2,0,0
2022-01-11,Onion,77,1.08,Tuesday,1,0,1,11,2022,2,0,0
2022-01-11,Carrot,62,1.94,Tuesday,1,0,1,11,2022,2,0,0
2022-01-12,Apple,82,2.67,Wednesday,2,0,1,12,2022,2,0,0
2022-01-12,Banana,63,1.57,Wednesday,2,0,1,12,2022,2,0,0
2022-01-12,Tomato,38,2.39,Wednesday,2,0,1,12,2022,2,0,0
2022-01-12,Potato,63,0.85,Wednesday,2,0,1,12,2022,2,0,0
2022-01-12,Spinach,26,2.12,Wednesday,2,0,1,12,2022,2,0,0
2022-01-12,Orange,42,1.95,Wednesday,2,0,1,12,2022,2,0,0
2022-01-12,Onion,103,1.36,Wednesday,2,0,1,12,2022,2,0,0
2022-01-12,Carrot,20,1.61,Wednesday,2,0,1,12,2022,2,0,0
2022-01-13,Apple,70,2.47,Thursday,3,0,1,13,2022,2,0,0
2022-01-13,Banana,71,1.56,Thursday,3,0,1,13,2022,2,0,0
2022-01-13,Tomato,28,3.02,Thursday,3,0,1,13,2022,2,0,0
2022-01-13,Potato,55,0.77,Thursday,3,0,1,13,2022,2,0,0
2022-01-13,Spinach,9,1.67,Thursday,3,0,1,13,2022,2,0,0
2022-01-13,Orange,35,2.15,Thursday,3,0,1,13,2022,2,0,0
2022-01-13,Onion,59,1.2,Thursday,3,0,1,13,2022,2,0,0
2022-01-13,Carrot,36,1.89,Thursday,3,0,1,13,2022,2,0,0
2022-01-14,Apple,95,2.1,Friday,4,0,1,14,2022,2,0,0
2022-01-14,Banana,69,1.4,Friday,4,0,1,14,2022,2,0,0
2022-01-14,Tomato,36,2.68,Friday,4,0,1,14,2022,2,0,0
2022-01-14,Potato,75,0.96,Friday,4,0,1,14,2022,2,0,0
2022-01-14,Spinach,36,1.76,Friday,4,0,1,14,2022,2,0,0
